title,video_id,channel,clim_change,glob_warm,carb_emis,green_en_policies,fos_fu_ind,clim_activ,env_regul,clim_polic_debate,renew_en_trans,carb_tax,counter_>_0.4
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,0.29,0.269,0.182,0.355,0.287,0.276,0.203,0.415,0.429,0.274,2
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,0.472,0.48,0.269,0.329,0.226,0.424,0.296,0.484,0.31,0.249,4
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,0.335,0.307,0.269,0.357,0.334,0.41,0.316,0.411,0.308,0.38,2
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,0.375,0.347,0.308,0.306,0.355,0.423,0.301,0.475,0.276,0.407,3
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,0.448,0.356,0.242,0.24,0.241,0.324,0.211,0.358,0.201,0.198,1
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,0.605,0.504,0.295,0.265,0.164,0.459,0.254,0.488,0.197,0.211,4
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.452,0.472,0.532,0.289,0.372,0.41,0.275,0.467,0.291,0.412,6
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.589,0.576,0.456,0.318,0.249,0.409,0.278,0.47,0.323,0.383,5
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.397,0.353,0.359,0.545,0.442,0.391,0.377,0.504,0.453,0.386,4
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.569,0.422,0.221,0.284,0.139,0.433,0.209,0.55,0.25,0.164,4
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,0.492,0.462,0.148,0.198,0.15,0.353,0.094,0.413,0.269,0.082,3
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.448,0.421,0.139,0.194,0.087,0.337,0.154,0.404,0.185,0.095,3
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.357,0.344,0.321,0.398,0.39,0.48,0.413,0.552,0.242,0.302,3
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.353,0.357,0.352,0.417,0.41,0.456,0.403,0.535,0.298,0.388,5
THE CLIMATE APOCALYPSE IS HERE | The Kyle Kulinski Show,plzrk_A2uqQ,Secular Talk,0.364,0.35,0.3,0.226,0.145,0.421,0.198,0.304,0.105,0.287,1
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.397,0.401,0.193,0.143,0.123,0.364,0.108,0.325,0.134,0.134,1
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.495,0.489,0.226,0.261,0.269,0.335,0.196,0.468,0.354,0.196,3
SCORCHING Heat &amp; Flooding Keeps Shattering Records | The Kyle Kulinski Show,FERI1uPlYBs,Secular Talk,0.445,0.403,0.189,0.259,0.102,0.439,0.152,0.33,0.215,0.12,3
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.494,0.395,0.268,0.348,0.232,0.508,0.272,0.522,0.28,0.266,3
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.43,0.405,0.345,0.385,0.398,0.413,0.286,0.508,0.35,0.283,4
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.362,0.379,0.409,0.469,0.453,0.353,0.321,0.469,0.376,0.378,4
Obama OMITS His Failure In Smug Climate Speech | The Kyle Kulinski Show,i0aAuxML74Q,Secular Talk,0.382,0.341,0.266,0.347,0.294,0.48,0.275,0.498,0.235,0.256,2
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.498,0.445,0.155,0.231,0.102,0.371,0.13,0.409,0.19,0.108,3
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.657,0.652,0.322,0.294,0.217,0.464,0.268,0.519,0.269,0.202,4
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.374,0.376,0.191,0.24,0.198,0.373,0.163,0.452,0.109,0.16,1
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.366,0.319,0.438,0.418,0.324,0.432,0.352,0.534,0.289,0.456,5
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.41,0.357,0.296,0.281,0.327,0.458,0.241,0.428,0.211,0.284,3
Parts Of The Persian Gulf Will Be Too Hot For Humans By 2100,9NBf4xvZPYw,Secular Talk,0.522,0.479,0.292,0.284,0.119,0.409,0.214,0.433,0.241,0.194,4
Parts Of The Persian Gulf Will Be Too Hot For Humans By 2100,9NBf4xvZPYw,Secular Talk,0.401,0.366,0.323,0.576,0.386,0.402,0.372,0.502,0.477,0.328,5
Parts Of The Persian Gulf Will Be Too Hot For Humans By 2100,9NBf4xvZPYw,Secular Talk,0.506,0.485,0.379,0.417,0.334,0.504,0.33,0.594,0.356,0.35,5
Will People Take Climate Change Seriously When Lots of People Die?,tNVehJsjysE,David Pakman,0.599,0.461,0.345,0.297,0.154,0.554,0.327,0.552,0.227,0.254,4
Will People Take Climate Change Seriously When Lots of People Die?,tNVehJsjysE,David Pakman,0.498,0.397,0.274,0.266,0.152,0.462,0.331,0.425,0.246,0.199,3
Will People Take Climate Change Seriously When Lots of People Die?,tNVehJsjysE,David Pakman,0.463,0.428,0.433,0.553,0.403,0.49,0.402,0.574,0.494,0.421,10
Big Blizzards Don&#39;t Disprove Climate Change,TqxS2PWgfoo,David Pakman,0.459,0.499,0.209,0.143,0.151,0.405,0.124,0.462,0.121,0.17,4
Big Blizzards Don&#39;t Disprove Climate Change,TqxS2PWgfoo,David Pakman,0.339,0.405,0.213,0.13,0.157,0.383,0.145,0.398,0.113,0.134,1
Big Blizzards Don&#39;t Disprove Climate Change,TqxS2PWgfoo,David Pakman,0.391,0.433,0.168,0.164,0.145,0.331,0.157,0.333,0.099,0.105,1
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.493,0.418,0.229,0.306,0.143,0.426,0.229,0.456,0.205,0.202,4
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.437,0.435,0.208,0.125,0.193,0.358,0.204,0.392,0.181,0.166,2
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.542,0.504,0.301,0.305,0.24,0.418,0.236,0.502,0.24,0.225,4
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.348,0.358,0.347,0.355,0.348,0.281,0.3,0.409,0.403,0.321,2
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.433,0.372,0.296,0.4,0.192,0.416,0.309,0.513,0.258,0.247,3
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.357,0.323,0.266,0.299,0.24,0.309,0.264,0.424,0.2,0.224,1
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.393,0.321,0.348,0.461,0.284,0.334,0.34,0.477,0.4,0.318,2
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.483,0.412,0.538,0.481,0.392,0.433,0.373,0.516,0.398,0.49,7
The ONE NUMBER That Connects Hurricanes to Climate Change,zF5TqVIJY28,David Pakman,0.482,0.397,0.162,0.218,0.137,0.467,0.168,0.474,0.203,0.102,3
The ONE NUMBER That Connects Hurricanes to Climate Change,zF5TqVIJY28,David Pakman,0.418,0.381,0.182,0.145,0.066,0.341,0.233,0.41,0.097,0.093,2
The ONE NUMBER That Connects Hurricanes to Climate Change,zF5TqVIJY28,David Pakman,0.444,0.448,0.263,0.145,0.169,0.314,0.155,0.331,0.161,0.185,2
"If We Don&#39;t Solve Climate Change, Does Anything Even Matter?",mSjEuWur7Xo,David Pakman,0.391,0.343,0.212,0.31,0.175,0.444,0.269,0.42,0.225,0.193,2
"If We Don&#39;t Solve Climate Change, Does Anything Even Matter?",mSjEuWur7Xo,David Pakman,0.255,0.274,0.248,0.286,0.259,0.337,0.234,0.402,0.218,0.237,1
Which Policies Would Actually Curb Climate Change?,4dHem7KqCYY,David Pakman,0.445,0.436,0.616,0.524,0.399,0.442,0.48,0.583,0.369,0.596,8
Which Policies Would Actually Curb Climate Change?,4dHem7KqCYY,David Pakman,0.247,0.265,0.329,0.47,0.341,0.292,0.323,0.4,0.478,0.413,3
Which Policies Would Actually Curb Climate Change?,4dHem7KqCYY,David Pakman,0.194,0.219,0.195,0.377,0.341,0.169,0.194,0.356,0.41,0.247,1
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.533,0.505,0.361,0.394,0.308,0.415,0.289,0.563,0.333,0.298,4
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.538,0.515,0.228,0.203,0.156,0.342,0.222,0.452,0.216,0.2,3
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.439,0.44,0.26,0.234,0.138,0.39,0.301,0.398,0.19,0.21,2
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.453,0.458,0.214,0.209,0.127,0.407,0.126,0.414,0.188,0.136,4
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.46,0.494,0.388,0.229,0.31,0.332,0.208,0.422,0.256,0.317,3
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.42,0.369,0.248,0.327,0.242,0.266,0.217,0.34,0.374,0.237,1
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.393,0.443,0.499,0.511,0.509,0.358,0.33,0.473,0.565,0.474,7
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.594,0.542,0.339,0.322,0.292,0.522,0.317,0.504,0.23,0.21,4
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.379,0.339,0.205,0.297,0.12,0.395,0.263,0.461,0.195,0.19,1
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.426,0.421,0.228,0.185,0.191,0.409,0.227,0.387,0.128,0.113,3
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.427,0.412,0.271,0.303,0.218,0.434,0.286,0.474,0.182,0.207,4
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.411,0.372,0.191,0.238,0.126,0.422,0.23,0.357,0.181,0.156,2
"Candace Owens - Climate Change, Gender & War On Fertility",1feEjY8kPfw,Candace Owens,0.509,0.49,0.298,0.256,0.212,0.538,0.266,0.502,0.213,0.207,4
"Candace Owens - Climate Change, Gender & War On Fertility",1feEjY8kPfw,Candace Owens,0.459,0.435,0.3,0.391,0.271,0.459,0.336,0.499,0.295,0.259,4
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.518,0.514,0.35,0.277,0.23,0.432,0.234,0.54,0.203,0.284,4
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.387,0.375,0.535,0.543,0.366,0.383,0.41,0.522,0.441,0.5,6
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.668,0.593,0.448,0.385,0.299,0.469,0.289,0.544,0.369,0.398,5
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.473,0.556,0.417,0.304,0.239,0.401,0.277,0.51,0.181,0.338,5
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.438,0.368,0.273,0.219,0.166,0.363,0.234,0.458,0.251,0.23,2
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.43,0.46,0.237,0.231,0.153,0.384,0.243,0.442,0.203,0.193,3
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.514,0.44,0.543,0.411,0.381,0.485,0.39,0.532,0.351,0.455,7
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.275,0.292,0.476,0.607,0.429,0.336,0.46,0.448,0.435,0.524,7
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.353,0.358,0.446,0.496,0.418,0.404,0.46,0.504,0.342,0.424,7
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.556,0.501,0.352,0.292,0.236,0.476,0.282,0.584,0.23,0.298,4
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.324,0.286,0.188,0.27,0.336,0.299,0.266,0.41,0.342,0.18,1
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.459,0.397,0.267,0.235,0.184,0.416,0.313,0.495,0.238,0.232,3
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.599,0.469,0.404,0.399,0.287,0.469,0.399,0.625,0.33,0.382,5
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.506,0.488,0.391,0.46,0.284,0.441,0.362,0.581,0.344,0.478,6
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.419,0.391,0.451,0.415,0.434,0.327,0.398,0.46,0.406,0.421,7
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.414,0.405,0.289,0.449,0.25,0.46,0.318,0.559,0.428,0.289,6
Climate Change Is NOT An Emergency — Here Are The Facts,SOUXgnXHxoE,Ben Shapiro,0.568,0.494,0.317,0.36,0.14,0.462,0.288,0.556,0.297,0.246,4
Climate Change Is NOT An Emergency — Here Are The Facts,SOUXgnXHxoE,Ben Shapiro,0.42,0.422,0.585,0.444,0.347,0.353,0.4,0.489,0.308,0.503,6
Climate Change Is NOT An Emergency — Here Are The Facts,SOUXgnXHxoE,Ben Shapiro,0.433,0.448,0.356,0.265,0.209,0.27,0.271,0.414,0.214,0.3,3
Climate Change Is NOT An Emergency — Here Are The Facts,SOUXgnXHxoE,Ben Shapiro,0.462,0.45,0.307,0.316,0.244,0.387,0.275,0.518,0.278,0.278,3
Charlie Kirk Destroys Climate Crazies!,tm0jIRDzHeY,Charlie Kirk,0.479,0.402,0.336,0.285,0.148,0.477,0.261,0.499,0.204,0.231,4
“The Climate Change Agenda Is A Hoax” - Vivek Ramaswamy,keUPHwFFQj4,Vivek Ramaswamy,0.473,0.407,0.35,0.312,0.264,0.521,0.287,0.476,0.287,0.289,4
It's Time To Acknowledge The Climate Crisis For What It Is - A SCAM,Wwoq4Yikfko,Vivek Ramaswamy,0.43,0.465,0.328,0.378,0.336,0.554,0.313,0.527,0.381,0.29,4
Fox News is Definitely Certain that Climate Change is a Hoax,nBnVeh9udkk,Fox News,0.428,0.538,0.355,0.258,0.276,0.436,0.215,0.501,0.263,0.293,4
Fox News is Definitely Certain that Climate Change is a Hoax,nBnVeh9udkk,Fox News,0.445,0.49,0.349,0.446,0.287,0.536,0.345,0.581,0.306,0.314,5
BREAKING | Trump At UN: 'Climate Change Is The Greatest Con Job' | Blasts UN Over Climate Warning,QTLmVwZHQyw,Donald Trump,0.316,0.355,0.277,0.379,0.244,0.334,0.278,0.436,0.269,0.267,1
Donald Trump's Best Lines on Climate Change,qpyFjUsm2PU,Donald Trump,0.451,0.431,0.359,0.406,0.318,0.473,0.395,0.538,0.333,0.357,5
Why Do Republicans Deny Climate Change Science?,Za-w5s0Nlks,Republican politicians,0.518,0.516,0.27,0.265,0.131,0.367,0.214,0.436,0.197,0.239,3
Why Do Republicans Deny Climate Change Science?,Za-w5s0Nlks,Republican politicians,0.564,0.54,0.337,0.316,0.293,0.506,0.275,0.513,0.265,0.27,4
Republicans are ignoring the climate crisis,JSoiKCLdXHA,Republican politicians,0.621,0.561,0.295,0.315,0.247,0.535,0.305,0.531,0.296,0.224,4
Climate Change: 'An APPALLING Scam!' w/ Jordan Peterson,afYRZUhE1-o,Jordan Peterson,0.435,0.402,0.386,0.257,0.329,0.422,0.332,0.498,0.265,0.343,4
Climate Change: 'An APPALLING Scam!' w/ Jordan Peterson,afYRZUhE1-o,Jordan Peterson,0.531,0.48,0.403,0.382,0.261,0.347,0.365,0.435,0.273,0.356,4
Climate Change: 'An APPALLING Scam!' w/ Jordan Peterson,afYRZUhE1-o,Jordan Peterson,0.536,0.5,0.49,0.499,0.299,0.493,0.394,0.547,0.291,0.434,7
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.434,0.403,0.167,0.127,0.069,0.291,0.117,0.294,0.204,0.134,2
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.482,0.524,0.321,0.255,0.269,0.421,0.173,0.425,0.22,0.239,4
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.465,0.521,0.331,0.287,0.25,0.434,0.199,0.437,0.2,0.281,4
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.378,0.53,0.27,0.271,0.194,0.457,0.192,0.466,0.163,0.221,3
The Weather Channel's Founder Exposes 'GLOBAL WARMING HOAX' On CNN,2ZLf4zVVRrY,John Coleman,0.522,0.502,0.299,0.299,0.244,0.52,0.334,0.559,0.256,0.243,4
The Weather Channel's Founder Exposes 'GLOBAL WARMING HOAX' On CNN,2ZLf4zVVRrY,John Coleman,0.428,0.425,0.347,0.411,0.309,0.49,0.446,0.578,0.183,0.363,6
Climate Change GLOBAL WARMING IS THE BIGGEST FRAUD SCAM IN HISTORY Dan Pena,R4P-syCkdMU,Dan Pena,0.359,0.387,0.254,0.398,0.278,0.323,0.289,0.465,0.313,0.263,1
