title,video_id,channel,clim_change,glob_warm,carb_emis,green_en_policies,fos_fu_ind,clim_activ,env_regul,clim_polic_debate,renew_en_trans,carb_tax
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.257,0.222,0.155,0.147,0.11,0.292,0.126,0.295,0.167,0.178
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.41,0.357,0.296,0.281,0.327,0.458,0.241,0.428,0.211,0.284
Trump: It&#39;s Cold Out So Global Warming Isn&#39;t Real,fuNM-SoOdQ8,Secular Talk,0.353,0.349,0.237,0.241,0.237,0.362,0.187,0.344,0.212,0.226
Parts Of The Persian Gulf Will Be Too Hot For Humans By 2100,9NBf4xvZPYw,Secular Talk,0.522,0.479,0.292,0.284,0.119,0.409,0.214,0.433,0.241,0.194
Parts Of The Persian Gulf Will Be Too Hot For Humans By 2100,9NBf4xvZPYw,Secular Talk,0.401,0.366,0.323,0.576,0.386,0.402,0.372,0.502,0.477,0.328
Parts Of The Persian Gulf Will Be Too Hot For Humans By 2100,9NBf4xvZPYw,Secular Talk,0.182,0.184,0.111,0.224,0.183,0.223,0.204,0.299,0.154,0.13
Parts Of The Persian Gulf Will Be Too Hot For Humans By 2100,9NBf4xvZPYw,Secular Talk,0.506,0.485,0.379,0.417,0.334,0.504,0.33,0.594,0.356,0.35
Will People Take Climate Change Seriously When Lots of People Die?,tNVehJsjysE,David Pakman,0.599,0.461,0.345,0.297,0.154,0.554,0.327,0.552,0.227,0.254
Will People Take Climate Change Seriously When Lots of People Die?,tNVehJsjysE,David Pakman,0.498,0.397,0.274,0.266,0.152,0.462,0.331,0.425,0.246,0.199
Will People Take Climate Change Seriously When Lots of People Die?,tNVehJsjysE,David Pakman,0.463,0.428,0.433,0.553,0.403,0.49,0.402,0.574,0.494,0.421
Will People Take Climate Change Seriously When Lots of People Die?,tNVehJsjysE,David Pakman,-0.031,-0.024,-0.037,0.017,-0.038,0.072,0.069,-0.021,0.045,0.055
Big Blizzards Don&#39;t Disprove Climate Change,TqxS2PWgfoo,David Pakman,0.459,0.499,0.209,0.143,0.151,0.405,0.124,0.462,0.121,0.17
Big Blizzards Don&#39;t Disprove Climate Change,TqxS2PWgfoo,David Pakman,0.339,0.405,0.213,0.13,0.157,0.383,0.145,0.398,0.113,0.134
Big Blizzards Don&#39;t Disprove Climate Change,TqxS2PWgfoo,David Pakman,0.391,0.433,0.168,0.164,0.145,0.331,0.157,0.333,0.099,0.105
Big Blizzards Don&#39;t Disprove Climate Change,TqxS2PWgfoo,David Pakman,0.078,0.128,0.106,-0.021,0.12,0.111,0.078,0.017,-0.001,0.005
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.493,0.418,0.229,0.306,0.143,0.426,0.229,0.456,0.205,0.202
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.437,0.435,0.208,0.125,0.193,0.358,0.204,0.392,0.181,0.166
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.542,0.504,0.301,0.305,0.24,0.418,0.236,0.502,0.24,0.225
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.348,0.358,0.347,0.355,0.348,0.281,0.3,0.409,0.403,0.321
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.433,0.372,0.296,0.4,0.192,0.416,0.309,0.513,0.258,0.247
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.357,0.323,0.266,0.299,0.24,0.309,0.264,0.424,0.2,0.224
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.393,0.321,0.348,0.461,0.284,0.334,0.34,0.477,0.4,0.318
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.483,0.412,0.538,0.481,0.392,0.433,0.373,0.516,0.398,0.49
Island Nations At Risk RIGHT NOW Because of Climate Change,UecII6d3h3Q,David Pakman,0.124,0.138,0.004,0.144,0.102,0.1,0.058,0.173,0.073,-0.008
The ONE NUMBER That Connects Hurricanes to Climate Change,zF5TqVIJY28,David Pakman,0.482,0.397,0.162,0.218,0.137,0.467,0.168,0.474,0.203,0.102
The ONE NUMBER That Connects Hurricanes to Climate Change,zF5TqVIJY28,David Pakman,0.418,0.381,0.182,0.145,0.066,0.341,0.233,0.41,0.097,0.093
The ONE NUMBER That Connects Hurricanes to Climate Change,zF5TqVIJY28,David Pakman,0.444,0.448,0.263,0.145,0.169,0.314,0.155,0.331,0.161,0.185
The ONE NUMBER That Connects Hurricanes to Climate Change,zF5TqVIJY28,David Pakman,0.336,0.277,0.087,0.155,0.081,0.317,0.148,0.353,0.117,0.02
"If We Don&#39;t Solve Climate Change, Does Anything Even Matter?",mSjEuWur7Xo,David Pakman,0.234,0.205,0.163,0.24,0.176,0.269,0.24,0.224,0.197,0.198
"If We Don&#39;t Solve Climate Change, Does Anything Even Matter?",mSjEuWur7Xo,David Pakman,0.391,0.343,0.212,0.31,0.175,0.444,0.269,0.42,0.225,0.193
"If We Don&#39;t Solve Climate Change, Does Anything Even Matter?",mSjEuWur7Xo,David Pakman,0.255,0.274,0.248,0.286,0.259,0.337,0.234,0.402,0.218,0.237
"If We Don&#39;t Solve Climate Change, Does Anything Even Matter?",mSjEuWur7Xo,David Pakman,0.03,0.042,0.014,0.03,0.092,0.066,0.027,0.135,0.055,0.032
Which Policies Would Actually Curb Climate Change?,4dHem7KqCYY,David Pakman,0.445,0.436,0.616,0.524,0.399,0.442,0.48,0.583,0.369,0.596
Which Policies Would Actually Curb Climate Change?,4dHem7KqCYY,David Pakman,0.247,0.265,0.329,0.47,0.341,0.292,0.323,0.4,0.478,0.413
Which Policies Would Actually Curb Climate Change?,4dHem7KqCYY,David Pakman,0.194,0.219,0.195,0.377,0.341,0.169,0.194,0.356,0.41,0.247
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.533,0.505,0.361,0.394,0.308,0.415,0.289,0.563,0.333,0.298
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.538,0.515,0.228,0.203,0.156,0.342,0.222,0.452,0.216,0.2
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.439,0.44,0.26,0.234,0.138,0.39,0.301,0.398,0.19,0.21
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.453,0.458,0.214,0.209,0.127,0.407,0.126,0.414,0.188,0.136
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.46,0.494,0.388,0.229,0.31,0.332,0.208,0.422,0.256,0.317
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.42,0.369,0.248,0.327,0.242,0.266,0.217,0.34,0.374,0.237
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.393,0.443,0.499,0.511,0.509,0.358,0.33,0.473,0.565,0.474
Fact &amp; Fiction: The Impact of Climate Change,k4PCtuDphxM,David Pakman,0.594,0.542,0.339,0.322,0.292,0.522,0.317,0.504,0.23,0.21
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.051,0.054,-0.008,0.022,-0.015,0.055,0.036,0.066,0.031,-0.001
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.379,0.339,0.205,0.297,0.12,0.395,0.263,0.461,0.195,0.19
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.426,0.421,0.228,0.185,0.191,0.409,0.227,0.387,0.128,0.113
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.427,0.412,0.271,0.303,0.218,0.434,0.286,0.474,0.182,0.207
Candace Owens Climate Monologue,5KQcLWyVn_s,Candace Owens,0.411,0.372,0.191,0.238,0.126,0.422,0.23,0.357,0.181,0.156
"Candace Owens - Climate Change, Gender & War On Fertility",1feEjY8kPfw,Candace Owens,0.509,0.49,0.298,0.256,0.212,0.538,0.266,0.502,0.213,0.207
"Candace Owens - Climate Change, Gender & War On Fertility",1feEjY8kPfw,Candace Owens,0.459,0.435,0.3,0.391,0.271,0.459,0.336,0.499,0.295,0.259
"Candace Owens - Climate Change, Gender & War On Fertility",1feEjY8kPfw,Candace Owens,0.136,0.099,-0.016,0.135,0.072,0.201,0.105,0.168,0.106,-0.032
"Candace Owens - Climate Change, Gender & War On Fertility",1feEjY8kPfw,Candace Owens,0.114,0.147,0.004,0.036,0.057,0.094,0.082,0.091,-0.012,-0.024
"Candace Owens - Climate Change, Gender & War On Fertility",1feEjY8kPfw,Candace Owens,0.17,0.21,0.04,0.155,0.067,0.139,0.15,0.177,0.027,0.073
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.518,0.514,0.35,0.277,0.23,0.432,0.234,0.54,0.203,0.284
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.387,0.375,0.535,0.543,0.366,0.383,0.41,0.522,0.441,0.5
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.668,0.593,0.448,0.385,0.299,0.469,0.289,0.544,0.369,0.398
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.473,0.556,0.417,0.304,0.239,0.401,0.277,0.51,0.181,0.338
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.438,0.368,0.273,0.219,0.166,0.363,0.234,0.458,0.251,0.23
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.43,0.46,0.237,0.231,0.153,0.384,0.243,0.442,0.203,0.193
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.514,0.44,0.543,0.411,0.381,0.485,0.39,0.532,0.351,0.455
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.325,0.262,0.182,0.256,0.237,0.346,0.215,0.337,0.228,0.221
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.275,0.292,0.476,0.607,0.429,0.336,0.46,0.448,0.435,0.524
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.353,0.358,0.446,0.496,0.418,0.404,0.46,0.504,0.342,0.424
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.108,0.138,0.241,0.224,0.217,0.185,0.236,0.224,0.204,0.379
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.289,0.285,0.248,0.31,0.319,0.239,0.223,0.335,0.246,0.222
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.556,0.501,0.352,0.292,0.236,0.476,0.282,0.584,0.23,0.298
Ben Shapiro VS Climate Change,WJUZuOTNehE,Ben Shapiro,0.324,0.286,0.188,0.27,0.336,0.299,0.266,0.41,0.342,0.18
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.459,0.397,0.267,0.235,0.184,0.416,0.313,0.495,0.238,0.232
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.599,0.469,0.404,0.399,0.287,0.469,0.399,0.625,0.33,0.382
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.506,0.488,0.391,0.46,0.284,0.441,0.362,0.581,0.344,0.478
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.419,0.391,0.451,0.415,0.434,0.327,0.398,0.46,0.406,0.421
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.414,0.405,0.289,0.449,0.25,0.46,0.318,0.559,0.428,0.289
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.198,0.164,0.039,0.164,0.065,0.175,0.151,0.272,0.098,0.022
Ben Shapiro on climate change | Lex Fridman Podcast Clips,vOblAlOifpo,Ben Shapiro,0.24,0.204,0.147,0.19,0.016,0.264,0.225,0.284,0.129,0.155
Climate Change Is NOT An Emergency — Here Are The Facts,SOUXgnXHxoE,Ben Shapiro,0.568,0.494,0.317,0.36,0.14,0.462,0.288,0.556,0.297,0.246
Climate Change Is NOT An Emergency — Here Are The Facts,SOUXgnXHxoE,Ben Shapiro,0.42,0.422,0.585,0.444,0.347,0.353,0.4,0.489,0.308,0.503
Climate Change Is NOT An Emergency — Here Are The Facts,SOUXgnXHxoE,Ben Shapiro,0.433,0.448,0.356,0.265,0.209,0.27,0.271,0.414,0.214,0.3
Climate Change Is NOT An Emergency — Here Are The Facts,SOUXgnXHxoE,Ben Shapiro,0.462,0.45,0.307,0.316,0.244,0.387,0.275,0.518,0.278,0.278
Charlie Kirk Destroys Climate Crazies!,tm0jIRDzHeY,Charlie Kirk,0.196,0.172,0.143,0.21,0.167,0.216,0.158,0.332,0.15,0.226
Charlie Kirk Destroys Climate Crazies!,tm0jIRDzHeY,Charlie Kirk,0.297,0.277,0.137,0.147,0.118,0.262,0.239,0.326,0.09,0.141
Charlie Kirk Destroys Climate Crazies!,tm0jIRDzHeY,Charlie Kirk,0.479,0.402,0.336,0.285,0.148,0.477,0.261,0.499,0.204,0.231
Charlie Kirk Destroys Climate Crazies!,tm0jIRDzHeY,Charlie Kirk,0.312,0.303,0.163,0.126,0.118,0.217,0.163,0.225,0.058,0.138
“The Climate Change Agenda Is A Hoax” - Vivek Ramaswamy,keUPHwFFQj4,Vivek Ramaswamy,0.473,0.407,0.35,0.312,0.264,0.521,0.287,0.476,0.287,0.289
It's Time To Acknowledge The Climate Crisis For What It Is - A SCAM,Wwoq4Yikfko,Vivek Ramaswamy,0.43,0.465,0.328,0.378,0.336,0.554,0.313,0.527,0.381,0.29
It's Time To Acknowledge The Climate Crisis For What It Is - A SCAM,Wwoq4Yikfko,Vivek Ramaswamy,0.234,0.212,0.11,0.09,0.035,0.303,0.174,0.199,0.027,0.071
It's Time To Acknowledge The Climate Crisis For What It Is - A SCAM,Wwoq4Yikfko,Vivek Ramaswamy,0.303,0.277,0.112,0.085,0.038,0.311,0.171,0.217,0.079,0.027
Fox News is Definitely Certain that Climate Change is a Hoax,nBnVeh9udkk,Fox News,0.428,0.538,0.355,0.258,0.276,0.436,0.215,0.501,0.263,0.293
Fox News is Definitely Certain that Climate Change is a Hoax,nBnVeh9udkk,Fox News,0.445,0.49,0.349,0.446,0.287,0.536,0.345,0.581,0.306,0.314
BREAKING | Trump At UN: 'Climate Change Is The Greatest Con Job' | Blasts UN Over Climate Warning,QTLmVwZHQyw,Donald Trump,0.316,0.355,0.277,0.379,0.244,0.334,0.278,0.436,0.269,0.267
BREAKING | Trump At UN: 'Climate Change Is The Greatest Con Job' | Blasts UN Over Climate Warning,QTLmVwZHQyw,Donald Trump,0.218,0.292,0.322,0.358,0.393,0.234,0.344,0.332,0.306,0.391
BREAKING | Trump At UN: 'Climate Change Is The Greatest Con Job' | Blasts UN Over Climate Warning,QTLmVwZHQyw,Donald Trump,0.093,0.082,0.064,0.153,0.146,0.089,0.093,0.198,0.073,0.113
BREAKING | Trump At UN: 'Climate Change Is The Greatest Con Job' | Blasts UN Over Climate Warning,QTLmVwZHQyw,Donald Trump,-0.006,0.07,0.068,-0.001,0.098,0.071,0.061,-0.033,0.05,0.054
Donald Trump's Best Lines on Climate Change,qpyFjUsm2PU,Donald Trump,0.451,0.431,0.359,0.406,0.318,0.473,0.395,0.538,0.333,0.357
Donald Trump's Best Lines on Climate Change,qpyFjUsm2PU,Donald Trump,0.181,0.221,0.22,0.294,0.214,0.291,0.288,0.276,0.182,0.253
Donald Trump's Best Lines on Climate Change,qpyFjUsm2PU,Donald Trump,0.176,0.165,0.199,0.22,0.192,0.207,0.26,0.23,0.246,0.2
Why Do Republicans Deny Climate Change Science?,Za-w5s0Nlks,Republican politicians,0.518,0.516,0.27,0.265,0.131,0.367,0.214,0.436,0.197,0.239
Why Do Republicans Deny Climate Change Science?,Za-w5s0Nlks,Republican politicians,0.564,0.54,0.337,0.316,0.293,0.506,0.275,0.513,0.265,0.27
Republicans are ignoring the climate crisis,JSoiKCLdXHA,Republican politicians,0.621,0.561,0.295,0.315,0.247,0.535,0.305,0.531,0.296,0.224
Climate Change: 'An APPALLING Scam!' w/ Jordan Peterson,afYRZUhE1-o,Jordan Peterson,0.137,0.16,0.065,0.079,0.128,0.192,0.106,0.142,0.069,0.057
Climate Change: 'An APPALLING Scam!' w/ Jordan Peterson,afYRZUhE1-o,Jordan Peterson,0.435,0.402,0.386,0.257,0.329,0.422,0.332,0.498,0.265,0.343
