title,video_id,channel,chunks_punctuation
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,"due to human-caused climate change, which is accelerating ice melt. in Greenland. this increases the volume of lighter fresh water entering the North Atlantic. the study's conclusions run contrary to the most recent report from the UN ipcc, which found in amok shutdown is very unlikely to occur this Century. Michael Mann, a climate scientist at the University of Pennsylvania who has published studies on the slowing AMAC mock but was not involved in the new research, said he questioned some of the methods and methods the new study uses. nevertheless, he finds its conclusions plausible. quote: I think the authors in this case are onto something real. we could be talking decades rather than a century. every time I see a story on climate change, it's always like: well, this is worse than what we thought the worst case scenario was going to be. every single time. I mean, we just had it was. it may have eclipsed 100 degrees in the ocean, uh, by Key West Florida, which would be a world record if that's. we're shattering temperature records everywhere. Rome just had a a new record temperature. we've had extreme flooding in places like, uh, in like Northwestern New York. there was just a whole bunch of extreme flooding. we have the wildfires which are out of control and, worse than ever, we have all these things and every single time I read an article it's like: this is worse than what we thought the worst case."
Ocean Current COLLAPSING In Nightmare Scenario | The Kyle Kulinski Show,CNFATGlTXEI,Secular Talk,"scenario would be. so, based on that, I tend to lean more in the direction of the study that, like, this thing is going to happen and it's going to happen relatively soon, and who knows what else this will lead to. and, like I said, the fact that this is like, hey, part of this was a day after tomorrow and of course, Day After Tomorrow is uh, traumatized, no, but also like, really, we're even having a conversation about some of those things might happen. that is wild. that is wild. um, yeah, I don't know, man, I think we should maybe do something about this, or we could keep debating it and we could have a whole cottage industry based on, uh, mucking up, doubt that this, that this is even a problem, and uh, we can drag our feet until we hit, until we reach Oblivion. we could do that too. I don't know. that just seems like a bad idea to me. hey, y'all do me a favor and like And subscribe. it helps out big time in the algorithm. click the Bell as well for notifications when videos Drop and watch that video on screen right now. you know you want to."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,"this past month has been a real eye-opening experience for many normies, because this is the first time in a while that people's anecdotal experience has lined up with the data on climate change and, uh, so you're seeing a lot of, you know, a lot of people are having a breakthrough like holy cow. there's really something that we need to address. so some of these headlines, man, are just jaw-dropping. so Ken klippenstein tweeted the following: Earth reaches hottest day ever recorded four days in a row. this is the hottest month ever recorded in human history, with Florida ocean temperatures topping 100 degrees. experts warn of damage to marine life. it's so hot in Arizona. doctors are treating a spike of patients who were burned by Falling On The Ground. hospitals in Arizona, the the burn units are completely full. 45 beds in one Hospital mourn, another totally full. searing Arizona Heat Wave. that's delivered 110 degrees Fahrenheit weather for 30 days straight. kills off States iconic cactuses as locals bake cookies in cars and complain of melting roads. he also shares this. Banks vote to limit accounting of emissions in bond and stock sales. that's great. that's great. so Corporate America, of course, taking this very seriously. so, uh, let's dive into some of these stories here. so hot in Arizona, doctors are treating a spike of patients who were burned by falling on the ground. it's so hot, Maricopa County, Arizona. the people are being."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,"brought into the emergency room with significant, sometimes life-threatening, Burns. for the past three or four weeks of this record Heat Wave, people have been burned just by Falling On The Ground. quote. summers are our busy season, so we anticipate that this sort of thing is going to happen, but this is really unusual. the number of patients that we're seeing and the severity of injuries- the Acuity of injuries- is much higher, said Dr Kevin Foster, director of burn services at the Arizona Burn Center at Valley wise Health. the numbers are higher and the seriousness of entries are higher, and we don't have a good explanation for it. every single one of the 45 beds in the burn center is full, he said, and one-third of patients are people who fell and burn themselves on the ground. there are also burn patients in the ICU. about half of those patients are people burned after Falls. quote. it has definitely taken its toll, Foster said. the area has been hotter than usual, even for Arizona, and that expert said means that the ground can be dangerous for anyone whose bare skin comes into contact with it. temperatures in Phoenix top 110 degrees for the 30th day in a row- by far the longest streak on record. the old record was just 18 days, as of uh me recording this segment, I think it's even higher. now I think we're on day 32 or 33.. every single alarm Bell."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,"should be going off. everybody should be recognizing exactly what this is. now, by the way, people actually do, the public actually does what's standing in our way. we all know what's standing in our way. we have an oil Lobby, a fossil fuel Lobby that has effectively bought the entire Republican party, and then you have some Democrats and that's all they need to do is buy some of the Democrats, Joe manchin for example- and then you really block any movement in the right direction. now we ended. we did end up getting the inflation reduction act, which was definitely a step in the right direction, but it certainly doesn't match the scale of the crisis, and, as I said a million times and I'll say a million more, this is actually an Economic Opportunity. if we lead when it comes to solar, we lead when it comes to wind, we lead when it comes to nuclear and geothermal, we can get the, the patents for the inevitable new technology that we can then sell to the rest of the world, and so it should be looked at as an economic opportunity to change the nature of the economy, get all fossil fuels, save ourselves from This Disaster and do a tremendous amount of job creation in the process. now, by the way, we already have. what is it? over 60 billion dollars went to green and renewable technology made in America stuff as part of the IRA."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,"that's great, that's a good start, but we got to go further, man. so I mean, look, every time I read an article on this stuff, it's like this is worse than what, uh, scientists thought the worst case scenario would be. and so it looks like we've really hit a Tipping Point here and there's no going back. the head of the UN came out the other day and said: it's no longer global warming, now it's Global boiling. man, that scent chills up my spine. dog, that sent chills up my spine. so I I mean, we can't put the genie back in the bottle and I'm just, I just fear how bad it'll actually get. you know, famine, drought, increase in extreme weather on both end, both ends of the spectrum, trillions of dollars in damage as a result of all this stuff. Wars over water, limited resources, anyway, uh, I have to say this to end: end this segment: but if these things don't whip the world into shape and don't make it so, the government's lead in a serious way. I don't know what will. because what do you have to do? hottest month on record ever, ever hottest days keep coming in. ocean temperatures over a hundred, shattering heat records. what does it have to be? over 130 degrees for five weeks for people to act. I don't know, I don't know, but uh, this is unsustainable and terrifying. hey, y'all, do me a."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lUYdZbUIv0o,Secular Talk,favor and like And subscribe. it helps out big time in the algorithm. click the Bell as well for notifications when videos Drop and watch that video on screen right now. you know you want to.
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,"all right, everybody, welcome to the show. how's everybody doing today? I am doing just Splendid, uh. so do me a big favor. before I even say another word, click that subscribe button. it's basically inevitable that Crystal is gonna pass me and subscribers, which is a tragedy. uh, some would say it's up there with some of the worst disasters in American history. uh, I am one of those people. I would like to have bragging rights over my wife, continuing in perpetuity, but it looks like all of you have failed me and I will not be able to do that and she'll have bragging rights over me and rub it in my face that she surpassed me in Subs even though my Channel's been around for roughly 78 years longer. so, yeah, it's cool, no big deal, it's whatever. click subscribe, for the love of God, and keep me in front of her. so, anyway, um, also click the Bell icon to get a notification every single time video drops. shout out to all the patreon supporters of this show. shout out to everybody who subscribes to Crystal, Kyle and Friends. by the way, we had a great debate with Michael Tracy on the Trump indictments last week. definitely check that out. it got very heated and very passionate, but it was also very substantive and I think you guys will enjoy that and remember you can always listen to this uh show in its totality as"
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,"an audio podcast. we don't just post the clips on YouTube, it's also over on Spotify anyway. all right, so let's go ahead and jump into it. I got a great show for you. today. we have um disaster in Hawaii- a wildfire disaster- and, um, at the same time, you have these Fox News hosts. I don't know if it was the same time or a day before, to be fair, but Fox News hosts were uh, uh, basically denying climate change, as they always do. we also have, uh, some very prominent right-wing judicial experts turning on Donald Trump and making an amazing argument that's going to shock you. we have a Biden supporter, a Biden supporting Republican, who confronts a trump supporter at the Iowa State Fair, and that is an amazing video. and then we also have, uh, Texas. apparently their prisons don't have air conditioning in Texas, and you can imagine what's now happening as a result of that. so we'll dive into all of that and much more, all right? so Jesse Waters is, uh, of course, the resident Fox News frat boy goon and um, they decided to do a climate change denying segment because it's a day that ends in y and uh. I want to show you it and then contrast it with the disaster that we're experiencing in Hawaii, so let's dive into it. this is a psyop against the American people by big business and the Democratic party to"
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,"worry you into giving you more of their money. you know the World's Gonna Change. everyone's gonna die. tax me, tax me, tax me. and when someone is that anxious, they will do anything to solve the problem. and the government says we just need to spend more money to solve the problem and that money goes to their donors. they're going after people who are, I guess, seeing therapists because they're worried about climate change or something and they're using this as like a haha, stupid liberal segment and he says it's a psyop and it's a conspiracy by big business to get, uh, Americans taxed more or something. I love how they invert the conspiracy. no, Jesse, the conspiracy is out in the open. the conspiracy is Exxon Mobil and Chevron and a big oil and all of these dirty energy companies making a tremendous amount of profit. they want to continue to make a tremendous amount of profit. so what they do is they hire mercenary junk scientists to pretend like they are not leading to climate change, and that gets everybody to drag their feet and not do enough to fight back, even though you have like 98 or 99 of the climate scientists saying this is a real problem and we need to address it. you have like 99.8 percent of studies in a in a giant meta-analysis showed: yes, climate change is real, it's happening and it's largely man-made. still want to swad it."
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,"aside, because I got one mercenary For Hire junk scientists who said: actually it's not our fault and so let's just keep, uh, using oil and gas until the cows come home forever, and so that's the real conspiracy. the real conspiracy are the climate change deniers. but he flips it. oh yeah, it's a psyop on behalf of big business, because the government wants to tax you or something. by the way, Jesse, do you have anything to say about the fact that under Republican administrations, working people pay more in taxes? do you have anything say about that? under Democratic administrations, where can people pay less in taxes? do you have anything to say about that? no, I didn't think so. so it's. it's just standard climate denial nonsense. and now it's happening at a time where even people's anecdotal experience is lining up with the data it used to be. you look at the data, the data says one thing, and then you talk to individuals and they go. I don't know. things seem pretty normal. now we're at the point where the data says one thing and the anecdotal experience says the same thing. everybody just came off the hot, the hottest month ever recorded in human history. yeah, I think people are going to notice that, Jesse, and I think they're gonna have some concerns. so anyway, at the same time- or I should be clear, I think it was maybe a day before- um."
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,"the Hawaii Wildfire happens. this is what they're talking about. so now let me show you some from that. this is what happened in Maui. this is astonishing. look at this, so for everybody just listening. you're seeing burnt, charred cars. you're seeing uh buildings that uh have effectively collapsed because they were burnt to a crisp. you're seeing just complete and utter total devastation. it's basically an entire town that has effectively been wiped off the map. at this point, as I'm talking to you right now, I know the death toll is over 100 people. it is still climbing. um, people were basically jumping out of their cars and jumping into the water to survive. that's how nightmarish this entire scenario was. there's smoke everywhere. I mean it is uh, it's something that looks like it's post-apocalyptic. it looks like it's something out of a zombie movie or or like this area just got nuked or something. that's what it looks like: storefronts absolutely positively destroyed, a car that looked like it was in the fire for 24 hours straight. everything's destroyed, everything's gone, boats even destroyed. even that boat caught on fire and the boat is literally on the water. I mean it's. it's really, really an astonishing picture, just to put it more into perspective, for people. look at this. so this is the before and after, and forgive me if I mispronounce this, but Lahaina Maui, before and after. this is the before, that's this."
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,"is what this beautiful place looked like, and then now it looks like that it is. uh, it's a nightmare and a lot of people lost absolutely everything. now you might be watching this and saying, well, yeah, but how does this link up to climate change? well, we've experienced this in the American West. we've seen what's happened as a direct result of climate change. let me show you that chart. so there are now more wildfires than there ever were. over the past six decades, there has been a steady increase in the number of fires in the western US. in fact, the majority of Western fires- 61 percent- have occurred since the year 2000. this is what the graph looks like. you have a steady, consistent increase here. this is in the American West and apparently those fires are also larger. they say those fires also burn, are burning more acres of land. the average annual amount of Acres burned has been steadily increasing since 1950.. the number of mega fires, fires that burn from more than 100 000 Acres, which is 156 square miles, has increased in the past two decades. in fact, no documented mega fires occurred before 1970.. and now we get them. we'll get this chart. and when I think of a wildfire, I do not think of Maui. you know it's tropical. it rains there quite a bit, but apparently it dried out and then there was a very rare wind event."
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,"where there were 70 mile an hour winds and the, the fire just cut through everywhere like a hot knife through butter and uh, again, this is directly linked to climate change. how much more evidence do these people need? how much more do you need? do you need me to bring up the climate chart, the temperature chart where it's been steadily Rising, where the pattern is rising, Rising, Rising. now, what they often do is they point to well, there's also cold records from time to time, but the way climate change works is that you get extremes on both ends of the spectrum. one of the potential side effects of climate change is that the ocean current is collapsing and that's supposed to make it so that, like the UK, enters like Ice Age, and that's all a direct result of climate change. it does it just. it makes the climate go Haywire effectively. that's what happens, and you're also going to have drought, you're also going to have famine, you're also going to have wars over water. this is all like documented and this is stuff that we know is coming, and every time they look at it they say, oh my God, this is worse than what we thought the worst case scenario was. we're all living in it right now and they still want to do their. haha, stupid liberal segment about some people going to see a climate therapist or something seems like."
Fox Host Calls Climate Change &#39;Psyop&#39; As Hawaii Burns | The Kyle Kulinski Show,fVzw1IkuEXw,Secular Talk,"you're missing the fars for the trees there. that's what it seems like to me, and it seems like you guys are working backwards from your conclusion and you will never acknowledge you were wrong, no matter how much evidence is put directly in front of your face. hey, y'all do me a favor and like And subscribe. it helps out big time in the algorithm. click the Bell as well for notifications when videos Drop and watch that video on screen right now. you know you want to."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,"all right, guys. so, uh, i regret to inform you that the climate apocalypse is here. it is here. carbon dioxide levels are highest in human history. humans pumped 36 billion tons of the planet warming gas into the atmosphere in 2021, more than in any previous year. it comes from burning oil, gas and coal. the amount of planet-warming carbon dioxide in the atmosphere broke a record in may, continuing its relentless climb. scientists said friday it is now 50 higher than the pre-industrial average before humans began the widespread burning of oil, gas and coal in the late 19th century. there is more carbon dioxide in the atmosphere now than at any time in the last four million years. national oceanic and atmospheric administration officials said the concentration of the gas reached nearly 421 parts per million in may, the peak for the year. as power plants, vehicles, farms and other sources around the world continue to pump huge amounts of carbon dioxide into the atmosphere, emissions totaled 36.3 billion tons in 2021, the highest level in human history. let me just say i remember when people talked about 400 parts per million being the point of no return, that once we crashed that cr, cross that line, we're screwed. we're screwed. you're gonna have catastrophic effects as a result of that. now we're at 421 parts per million. we're way above that 400 line. kind of scary, isn't it? kind of scary, as the amount of carbon"
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,"dioxide increases. the planet keeps warming, with effects like increased flooding, more extreme heat, drought and worsening wildfires that are already being experienced by millions of people worldwide. average global temperatures are now about 1.1 degrees celsius, or 2 degrees fahrenheit higher than in pre-industrial times. growing carbon dioxide levels are more evidence that countries have made little progress toward the goal set in the par in paris in 2015 of limiting warming to 1.5 degrees celsius. that's the threshold beyond which scientists say the likelihood of catastrophic effects of climate change increases significantly. they are a stark reminder that we need to take urgent, serious steps to become a more climate ready nation. rick spinrad, the noaa administrator, said in a statement: although carbon dioxide levels dipped somewhat around 2020 during the economic slowdown caused by the coronavirus pandemic, there was no effect on the long-term trend. peter tanz, a senior scientist with noa's global monitoring laboratory, said in an interview: the rate of increase in carbon dioxide concentration just kept on going, he said, and it keeps on going for about the same pace as it did for the past decade. so, um guys. [Music]. the thing that we need to realize is: you can actually view this as an opportunity. like fdr looked at the depression, with all the pain and all the suffering and the economic devastation, and he used that as an opportunity to fix the system. let's do the new deal um. you can."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,"do the same thing with this. that's why people talk about a green new deal. now there's different versions of it. i think some of them, uh, are not specific enough on this issue. but the whole concept of let's do a green new deal- transition off of fossil fuels, move to green renewable technology, move to electric vehicles. you can have a giant economic boom as a result of that- a giant economic boom. you can create so many jobs. you can make the us the manufacturing hub of the world again. we can lead the world on this stuff. we can develop the patents and have them here, which will make it so that in this global economic competition, we rise above everybody else. you can look at this as an opportunity for growth, and so you get. you would get the benefit of fighting back against climate change, but also the benefit of an economic boom and jobs and even profit being created. but you just need to dedicate yourself to it now. the reason why we haven't- and everybody knows this- is the influence of oil money and natural gas money- just the whole fossil fuel industry, all the various dirty energy industries. they've basically bought the entire republican party here in the us, but they've also bought a handful of democrats like joe manchin, and so they block any sort of movement in the right direction. and so here we are, every time, you see."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,"an article on climate change or a study, they always say: look, it's worse than what scientists said was the worst case scenario. how many times have we seen that? and so i mean this article should terrify people, because- and i also think- people don't do a good enough job talking about all of the real downsides of climate change. you know, the one that's floated from time to time is like well rising sea levels. yeah, that's true, and that's a huge problem. and, um, you know, there are cities like new orleans or miami that could be gone eventually. right, that's a huge problem, but there's other things that aren't discussed, like the fact that there's going to be wars over water and there's going to be famines because there's not enough fresh water and the growing seasons are all [ __ ] up, you know. here's another one. this is an argument that should work on conservatives if they're using their brains. the middle east is becoming literally uninhabitable. one of the region's hardest hit by climate change is also one least equipped to deal with it. the summer this summer- this was in 2021. this summer, several picturesque countries in the middle east became tinder boxes as extreme temperatures and severe droughts ravaged the region. forest burned and cities became islands of unbearable heat. in june, kuwait recorded a temperature of 53.2 degrees celsius- 127.76 degrees fahrenheit, while oman, the united arab emirates and saudi."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,"arabia all recorded over 50 degrees- 122 degrees fahrenheit. a month later, temperatures in iraq spiked 50 to 51.5 degrees- 124.7 degrees uh fahrenheit- and iran recorded a a close 51 degrees- 123.8 degrees fahrenheit. worst of all, this is just the start of a trend that the middle east is warming at twice the global average and by 2050, will be four degrees celsius warmer as compared with the 1.5 degree mark that scientists have prescribed to save humanity. so they say. some people say by 2050, others say by 2100, the middle east will be literally uninhabitable. now let me ask you a question: where do these people go when this happens? where these people go, there's going to be a giant refugee crisis and a giant immigration issue and conservatives not gonna like that. but if you say, hey, we can address this now by transitioning off of fossil fuels, they also don't like that. so a little bit of a rock and a hard place, isn't it so? unfortunately, look, in many ways i don't fancy myself a doomer, but i think when it comes to climate man, i'm really close to just being a doomer, because we're at the point now where it's like not only do we need to transition quickly, we also need um new technology to help get us there, finding a way to vacuum the greenhouse gases out of air or some [ __ ], and i don't know if that."
The Climate Apocalypse Is Here | The Kyle Kulinski Show,lv4iv6gql68,Secular Talk,"exists. i don't know if that will exist, but this is not a good sign. none of this stuff is a good sign and i guarantee this won't get nearly the press that it deserves. that carbon dioxide levels are the highest in human history. that's astounding. ever since adpocalypse, when youtube defunded all independent news and politics overnight, we haven't trusted them. we know they can pull the rug out from underneath us at any time. if you enjoy this content, please consider tipping a dollar two per month on the secular talk patreon link in the video description box below. thanks for your support."
