entity,label,lr_believes_exaggeration
the arctic ice,LOC,False
earth,LOC,False
china,GPE,False
china,GPE,False
heartland,LOC,False
pangia,GPE,False
earth,LOC,False
britain,GPE,False
new york,GPE,True
dennis quaid,PERSON,True
jake,NORP,True
gyllenhaal,ORG,True
santa monica,GPE,True
beach,PERSON,True
indana,GPE,False
rosy,PERSON,False
iphone,ORG,False
bill gates,PERSON,True
bill gates,PERSON,True
bernie sanders,PERSON,True
bernie sanders,PERSON,False
bernie sanders,PERSON,False
fidel castro,PERSON,False
china,GPE,False
li,PERSON,True
earth,LOC,True
earth,LOC,True
earth,LOC,True
venice,GPE,True
western civilization,ORG,True
ebay,ORG,True
bob,PERSON,True
bob,PERSON,True
mit,ORG,True
caltech,ORG,True
know-,PERSON,True
paris,GPE,True
accords,ORG,True
net zero,ORG,False
cloud schwab,PERSON,False
william nordhaus,PERSON,False
the nobel prize,WORK_OF_ART,False
technologies,ORG,False
sort,ORG,False
the dynamics of the,ORG,False
ben,PERSON,False
ben,PERSON,False
china,GPE,False
india,GPE,False
china,GPE,False
the united states,GPE,False
new orleans,GPE,False
miami,GPE,False
seattle,GPE,False
geo-engineering,PRODUCT,False
northern european,NORP,False
russia,GPE,False
sarah palin,PERSON,False
bible,WORK_OF_ART,True
bible,WORK_OF_ART,True
society,ORG,True
india,GPE,True
coal,PERSON,True
american prosperity,ORG,True
american,NORP,True
asset management,ORG,True
vic,PERSON,True
tucker,PERSON,True
america,GPE,True
china,GPE,True
the united states,GPE,True
esg,ORG,True
the trojan horse for global equity,ORG,True
joseph,PERSON,True
nazi,NORP,True
germany,GPE,True
al,PERSON,True
axiom,GPE,True
al gore,PERSON,True
al gore,PERSON,True
bella,PERSON,True
al gore,PERSON,True
glacier,NORP,True
us,GPE,False
europe,LOC,False
europe,LOC,False
europe,LOC,False
america,GPE,False
paris,GPE,False
america,GPE,False
china,GPE,False
russia,GPE,False
the united states,GPE,False
united states,GPE,False
clean coal,PERSON,True
eagles,GPE,True
obama,PERSON,True
the united states,GPE,True
californians,NORP,True
teddy roosevelt,PERSON,True
trump,PERSON,True
ed,PERSON,True
theory,PRODUCT,False
american,NORP,True
wyoming,GPE,True
cheyenne,GPE,True
wyoming,GPE,True
400s,PRODUCT,True
consequence,ORG,False
nasa,ORG,False
us,GPE,False
greening,ORG,False
greening,ORG,True
patrick moore,PERSON,True
the sahara desert,LOC,True
lush,PERSON,True
lush forest,ORG,True
lush,PERSON,True
midwest,LOC,True
minnesota,GPE,True
canada,GPE,False
jones,PERSON,False
google,ORG,False
antarctica,LOC,False
leonardo dicaprio,PERSON,False
leonardo dicaprio,PERSON,False
twitter,PERSON,False
co2,PRODUCT,False
matthews,PERSON,False
cloud,PERSON,False
island,GPE,False
earth,LOC,False
earth,LOC,False
steve,PERSON,False
earth,LOC,False
randall carlson,PERSON,True
earth,LOC,True
kenny,PERSON,True
the weather channel,WORK_OF_ART,True
the weather channel,ORG,True
the weather channel,ORG,True
cnn,ORG,True
the democratic party,ORG,True
cnn,ORG,True
nasa,ORG,True
the democrat party,ORG,True
the united states,GPE,False
england,GPE,False
europe,LOC,False
central america,LOC,False
florida,GPE,False
prospectus,ORG,False
gore,PERSON,False
south america,LOC,False
london,GPE,False
barclays bank,ORG,False
democrats,NORP,False
the house select committee,ORG,False
senate,ORG,False
senate,ORG,False
chuck schumer,PERSON,False
democrats,NORP,False
america,GPE,False
democrats,NORP,False
nancy,PERSON,False
the house select committee,ORG,False
america,GPE,False
capitol hill,ORG,False
america,GPE,False
congress,ORG,False
america,GPE,False
don mckeichen,PERSON,False
julia brownlee,ORG,False
california,GPE,False
illinois,GPE,False
california,GPE,False
suzanne bonamici,PERSON,False
electro,GPE,False
escobar of,PERSON,False
texas,GPE,False
mike levin,PERSON,False
joe nagooz,PERSON,False
don beyer,PERSON,False
debbie dingle,PERSON,False
jamie raskin,PERSON,False
florida,GPE,False
deborah ross,PERSON,False
melanie stansberry,PERSON,False
congress,ORG,False
america,GPE,False
the united states of america,GPE,False
america,GPE,False
sean caston,PERSON,False
illinois,GPE,False
american,NORP,False
american,NORP,False
the united states,GPE,False
senate,ORG,False
the united states,GPE,False
congress,ORG,False
congress,ORG,False
congress,ORG,False
mike levin,PERSON,False
mike levin,PERSON,False
sean caston,PERSON,False
washington,GPE,False
kathy castro,PERSON,False
congress,ORG,False
colorado,GPE,False
joe negus,PERSON,False
sean,NORP,False
mike levin,PERSON,False
california,GPE,False
democrats,NORP,False
american,NORP,False
american,NORP,False
kathy castro,PERSON,False
the united states,ORG,False
congress,ORG,False
colorado,GPE,False
american,NORP,False
un,ORG,False
dan kildy,PERSON,False
john larson,PERSON,False
earl blumenour,PERSON,False
albert camus,PERSON,False
america,GPE,False
american,NORP,False
america,GPE,False
americans,NORP,False
joe manchin,PERSON,False
china,GPE,False
america,GPE,False
china,GPE,False
american,NORP,False
americans,NORP,False
michigan,GPE,False
the united states,GPE,False
american,NORP,False
know-,PERSON,False
florida,GPE,False
fema,ORG,False
florida,GPE,False
america,GPE,False
american,NORP,False
american,NORP,False
american,NORP,False
america,GPE,False
democrats,NORP,False
american,NORP,False
the united states,GPE,False
american,NORP,False
north carolina,GPE,False
north carolina,GPE,False
south carolina,GPE,False
georgia,GPE,False
florida,GPE,False
american clean energy development,ORG,False
wright,PERSON,False
carolinas,GPE,False
new mexico,GPE,False
